gene	tpm1	tpm2	status_any	n_isoforms	diffisouse	status_overall	logFC_overall	dtu	dte	dge	logFC_overall_cat	avetpm	avetpm_cat
ENSG00000000457	8.5257738	8.5257738	1	5	1	0	0	1	0	0	[ 0.00, 0.56)	8.5257738	[   2.628,  17.148)
ENSG00000000460	3.3145437	7.4287777	1	10	1	1	1.16431458134414	0	1	0	[ 0.56, 1.54)	5.3716607	[   2.628,  17.148)
ENSG00000000938	11.543626	11.543626	1	8	1	0	0	1	0	0	[ 0.00, 0.56)	11.543626	[   2.628,  17.148)
ENSG00000000971	163.547797	163.547797	1	6	1	0	0	1	0	0	[ 0.00, 0.56)	163.547797	[  17.148,3265.406]
ENSG00000001460	7.120903	6.62848670189139	1	13	1	1	0.103380663128455	0	1	0	[ 0.00, 0.56)	6.8746948509457	[   2.628,  17.148)
ENSG00000001461	19.970472	19.970472	0	8	0	0	0	0	0	0	[ 0.00, 0.56)	19.970472	[  17.148,3265.406]
ENSG00000004455	123.394734	123.394734	1	13	1	0	0	1	0	0	[ 0.00, 0.56)	123.394734	[  17.148,3265.406]
ENSG00000004487	25.105739	28.651862	1	7	1	1	0.190611706442327	0	1	0	[ 0.00, 0.56)	26.8788005	[  17.148,3265.406]
ENSG00000006555	8.711261	8.381661	1	5	1	1	0.0556453992884435	0	1	0	[ 0.00, 0.56)	8.546461	[   2.628,  17.148)
ENSG00000007341	16.50798089576	16.50798089576	0	32	0	0	0	0	0	0	[ 0.00, 0.56)	16.50798089576	[   2.628,  17.148)
ENSG00000007908	0.212504401755288	0.212504401755288	0	10	0	0	0	0	0	0	[ 0.00, 0.56)	0.212504401755288	[   0.000,   0.362)
ENSG00000007923	37.485365	37.485365	0	14	0	0	0	0	0	0	[ 0.00, 0.56)	37.485365	[  17.148,3265.406]
ENSG00000007933	1.2529181	1.2529181	1	9	1	0	0	1	0	0	[ 0.00, 0.56)	1.2529181	[   0.362,   2.628)
ENSG00000007968	1.7382889	1.7382889	1	2	1	0	0	1	0	0	[ 0.00, 0.56)	1.7382889	[   0.362,   2.628)
ENSG00000008118	0.316864	0.316864	0	4	0	0	0	0	0	0	[ 0.00, 0.56)	0.316864	[   0.000,   0.362)
ENSG00000008128	30.4815000210897	36.45061	1	24	1	1	0.258009057363661	0	1	0	[ 0.00, 0.56)	33.4660550105448	[  17.148,3265.406]
ENSG00000008130	47.274831	31.9188919	1	19	1	1	0.566661733119866	0	1	0	[ 0.56, 1.54)	39.59686145	[  17.148,3265.406]
ENSG00000009307	326.073381176096	326.073381176096	0	17	0	0	0	0	0	0	[ 0.00, 0.56)	326.073381176096	[  17.148,3265.406]
ENSG00000009709	0.0150752	0.0150752	0	3	0	0	0	0	0	0	[ 0.00, 0.56)	0.0150752	[   0.000,   0.362)
ENSG00000009724	1.2080382	1.2080382	0	4	0	0	0	0	0	0	[ 0.00, 0.56)	1.2080382	[   0.362,   2.628)
ENSG00000009780	8.5530495	8.1337005	1	7	1	1	0.0725270207830231	0	1	0	[ 0.00, 0.56)	8.343375	[   2.628,  17.148)
ENSG00000009790	20.897652	5.822586	1	18	0	1	1.84360890593938	0	0	1	[ 1.54, 2.62)	13.360119	[   2.628,  17.148)
ENSG00000010072	5.265686	5.265686	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	5.265686	[   2.628,  17.148)
ENSG00000010165	17.812495	17.812495	0	9	0	0	0	0	0	0	[ 0.00, 0.56)	17.812495	[  17.148,3265.406]
ENSG00000010803	18.832274	8.61847682478	1	17	0	1	1.12770239198418	0	0	1	[ 0.56, 1.54)	13.72537541239	[   2.628,  17.148)
ENSG00000010932	0.7327016	0.436675	1	8	0	1	0.746665828078668	0	0	1	[ 0.56, 1.54)	0.5846883	[   0.362,   2.628)
ENSG00000011007	12.596495	12.596495	0	2	0	0	0	0	0	0	[ 0.00, 0.56)	12.596495	[   2.628,  17.148)
ENSG00000011009	49.602574	49.602574	1	11	1	0	0	1	0	0	[ 0.00, 0.56)	49.602574	[  17.148,3265.406]
ENSG00000011021	5.209354	5.209354	1	9	1	0	0	1	0	0	[ 0.00, 0.56)	5.209354	[   2.628,  17.148)
ENSG00000014914	15.304939614625	12.729516514625	1	12	1	1	0.265819728103863	0	1	0	[ 0.00, 0.56)	14.017228064625	[   2.628,  17.148)
ENSG00000016490	638.71045	3.92446	1	2	1	1	7.34652408962764	0	1	0	[ 2.62,13.22]	321.317455	[  17.148,3265.406]
ENSG00000016602	493.00834	493.00834	0	3	0	0	0	0	0	0	[ 0.00, 0.56)	493.00834	[  17.148,3265.406]
ENSG00000018625	8.306968	8.306968	1	8	1	0	0	1	0	0	[ 0.00, 0.56)	8.306968	[   2.628,  17.148)
ENSG00000020129	7.352097	7.352097	1	6	1	0	0	1	0	0	[ 0.00, 0.56)	7.352097	[   2.628,  17.148)
ENSG00000020633	9.1697146	9.1697146	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	9.1697146	[   2.628,  17.148)
ENSG00000021852	0	0	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	0	[   0.000,   0.362)
ENSG00000023572	12.4936275	21.75245	1	3	0	1	0.799985480868623	0	0	1	[ 0.56, 1.54)	17.12303875	[   2.628,  17.148)
ENSG00000023902	42.876509	42.876509	0	9	0	0	0	0	0	0	[ 0.00, 0.56)	42.876509	[  17.148,3265.406]
ENSG00000023909	9.0411	6.001029	1	3	1	1	0.591288409429482	0	1	0	[ 0.56, 1.54)	7.5210645	[   2.628,  17.148)
ENSG00000024526	2.091565	0.477519	1	5	0	1	2.13095279082662	0	0	1	[ 1.54, 2.62)	1.284542	[   0.362,   2.628)
ENSG00000025800	11.115852	25.882184	1	6	0	1	1.21934082921531	0	0	1	[ 0.56, 1.54)	18.499018	[  17.148,3265.406]
ENSG00000026751	48.6172	48.6172	0	10	0	0	0	0	0	0	[ 0.00, 0.56)	48.6172	[  17.148,3265.406]
ENSG00000027644	0.0109364	0.0109364	0	1	0	0	0	0	0	0	[ 0.00, 0.56)	0.0109364	[   0.000,   0.362)
ENSG00000027869	5.564698	5.564698	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	5.564698	[   2.628,  17.148)
ENSG00000028137	36.246082	35.9893636	1	4	1	1	0.0102544649319591	0	1	0	[ 0.00, 0.56)	36.1177228	[  17.148,3265.406]
ENSG00000031698	100.84792	100.84792	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	100.84792	[  17.148,3265.406]
ENSG00000033122	2.2800375	2.2800375	1	7	1	0	0	1	0	0	[ 0.00, 0.56)	2.2800375	[   0.362,   2.628)
ENSG00000034971	3.62229	3.62229	0	1	0	0	0	0	0	0	[ 0.00, 0.56)	3.62229	[   2.628,  17.148)
ENSG00000035687	31.349169	9.9916316	1	3	0	1	1.64963501110815	0	0	1	[ 1.54, 2.62)	20.6704003	[  17.148,3265.406]
ENSG00000036549	14.809371	14.809371	0	11	0	0	0	0	0	0	[ 0.00, 0.56)	14.809371	[   2.628,  17.148)
ENSG00000037637	7.9842615	7.9842615	1	4	1	0	0	1	0	0	[ 0.00, 0.56)	7.9842615	[   2.628,  17.148)
ENSG00000040487	5.356862272823	5.356862272823	1	6	1	0	0	1	0	0	[ 0.00, 0.56)	5.356862272823	[   2.628,  17.148)
ENSG00000041988	6.030637	6.030637	0	8	0	0	0	0	0	0	[ 0.00, 0.56)	6.030637	[   2.628,  17.148)
ENSG00000042781	0.0260313	0.0260313	0	5	0	0	0	0	0	0	[ 0.00, 0.56)	0.0260313	[   0.000,   0.362)
ENSG00000043514	11.986675	11.986675	0	20	0	0	0	0	0	0	[ 0.00, 0.56)	11.986675	[   2.628,  17.148)
ENSG00000044012	67.3321	67.3321	0	1	0	0	0	0	0	0	[ 0.00, 0.56)	67.3321	[  17.148,3265.406]
ENSG00000047410	32.896624	3.23494	1	8	0	1	3.34612867646742	0	0	1	[ 2.62,13.22]	18.065782	[  17.148,3265.406]
ENSG00000048707	14.257150464	387.3934	1	16	0	1	4.76404180667155	0	0	1	[ 2.62,13.22]	200.825275232	[  17.148,3265.406]
ENSG00000049089	4.1470637	4.718702	1	11	1	1	0.186299856295848	0	1	0	[ 0.00, 0.56)	4.43288285	[   2.628,  17.148)
ENSG00000049239	10.251448	10.251448	0	3	0	0	0	0	0	0	[ 0.00, 0.56)	10.251448	[   2.628,  17.148)
ENSG00000049245	72.303063	6.848813	1	3	1	1	3.40013089127998	0	1	0	[ 2.62,13.22]	39.575938	[  17.148,3265.406]
ENSG00000049246	8.917632	104.648163	1	7	0	1	3.55274251061907	0	0	1	[ 2.62,13.22]	56.7828975	[  17.148,3265.406]
ENSG00000049247	0.487135	0.174994	1	3	0	1	1.47701618523704	0	0	1	[ 0.56, 1.54)	0.3310645	[   0.000,   0.362)
ENSG00000049249	1.3295	1.3295	1	3	1	0	0	1	0	0	[ 0.00, 0.56)	1.3295	[   0.362,   2.628)
ENSG00000050628	3.9685744	3.9685744	1	12	1	0	0	1	0	0	[ 0.00, 0.56)	3.9685744	[   2.628,  17.148)
ENSG00000052723	19.283247	11.937307	1	10	1	1	0.691870591381935	0	1	0	[ 0.56, 1.54)	15.610277	[   2.628,  17.148)
ENSG00000053371	30.018557	29.8082000096003	1	5	1	1	0.0101453681492061	0	1	0	[ 0.00, 0.56)	29.9133785048002	[  17.148,3265.406]
ENSG00000053372	18.778123	4.042213	1	3	1	1	2.21583561302908	0	1	0	[ 1.54, 2.62)	11.410168	[   2.628,  17.148)
ENSG00000054116	39.778874	12.577408	1	7	0	1	1.661167802351	0	0	1	[ 1.54, 2.62)	26.178141	[  17.148,3265.406]
ENSG00000054118	49.85649	49.85649	0	4	0	0	0	0	0	0	[ 0.00, 0.56)	49.85649	[  17.148,3265.406]
ENSG00000054267	16.8424325	16.8424325	1	13	1	0	0	1	0	0	[ 0.00, 0.56)	16.8424325	[   2.628,  17.148)
ENSG00000054277	16.652399	28.596769	1	7	1	1	0.780122121895911	0	1	0	[ 0.56, 1.54)	22.624584	[  17.148,3265.406]
ENSG00000054282	14.9247333	14.9247333	1	14	1	0	0	1	0	0	[ 0.00, 0.56)	14.9247333	[   2.628,  17.148)
ENSG00000054392	3.4527564	3.4527564	0	11	0	0	0	0	0	0	[ 0.00, 0.56)	3.4527564	[   2.628,  17.148)
ENSG00000054523	10.569614183313	10.889815883313	1	10	1	1	0.0430568464801509	0	1	0	[ 0.00, 0.56)	10.729715033313	[   2.628,  17.148)
ENSG00000055070	63.462746	44.072296	1	11	1	1	0.52603788973944	0	1	0	[ 0.00, 0.56)	53.767521	[  17.148,3265.406]
ENSG00000055732	0.92578628	0.260234	1	8	0	1	1.83086971743626	0	0	1	[ 1.54, 2.62)	0.59301014	[   0.362,   2.628)
ENSG00000057252	17.42778	17.42778	0	5	0	0	0	0	0	0	[ 0.00, 0.56)	17.42778	[  17.148,3265.406]
ENSG00000057468	0.0260511	0.0260511	0	1	0	0	0	0	0	0	[ 0.00, 0.56)	0.0260511	[   0.000,   0.362)
ENSG00000057757	35.92262	4.9804	1	3	0	1	2.8505590543528	0	0	1	[ 2.62,13.22]	20.45151	[  17.148,3265.406]
ENSG00000058085	19.728373	19.728373	1	4	1	0	0	1	0	0	[ 0.00, 0.56)	19.728373	[  17.148,3265.406]
ENSG00000058453	10.5966538	10.5966538	1	13	1	0	0	1	0	0	[ 0.00, 0.56)	10.5966538	[   2.628,  17.148)
ENSG00000058668	28.3242002149447	3.60733	1	9	0	1	2.97303190691731	0	0	1	[ 2.62,13.22]	15.9657651074723	[   2.628,  17.148)
ENSG00000058673	51.06391	51.06391	0	13	0	0	0	0	0	0	[ 0.00, 0.56)	51.06391	[  17.148,3265.406]
ENSG00000058799	22.077603	22.077603	1	9	1	0	0	1	0	0	[ 0.00, 0.56)	22.077603	[  17.148,3265.406]
ENSG00000058804	15.67345	11.666617	1	5	1	1	0.425936497569286	0	1	0	[ 0.00, 0.56)	13.6700335	[   2.628,  17.148)
ENSG00000059588	15.966911	15.966911	0	9	0	0	0	0	0	0	[ 0.00, 0.56)	15.966911	[   2.628,  17.148)
ENSG00000060642	10.439986	5.818995	1	7	1	1	0.843277865698363	0	1	0	[ 0.56, 1.54)	8.1294905	[   2.628,  17.148)
ENSG00000060656	10.8816409010743	10.8816409010743	1	13	1	0	0	1	0	0	[ 0.00, 0.56)	10.8816409010743	[   2.628,  17.148)
ENSG00000060688	26.742966	5.887086	1	8	1	1	2.18353387208661	0	1	0	[ 1.54, 2.62)	16.315026	[   2.628,  17.148)
ENSG00000060718	0.2931254227	0.2931254227	1	10	1	0	0	1	0	0	[ 0.00, 0.56)	0.2931254227	[   0.000,   0.362)
ENSG00000064703	5.808894	2.545519	1	6	1	1	1.19030366991563	0	1	0	[ 0.56, 1.54)	4.1772065	[   2.628,  17.148)
ENSG00000064886	4.755764	4.755764	0	17	0	0	0	0	0	0	[ 0.00, 0.56)	4.755764	[   2.628,  17.148)
ENSG00000065135	40.1261	3.129589	1	1	0	1	3.68049583252686	0	0	1	[ 2.62,13.22]	21.6278445	[  17.148,3265.406]
ENSG00000065183	15.8702	4.84069	1	4	1	1	1.71303569805065	0	1	0	[ 1.54, 2.62)	10.355445	[   2.628,  17.148)
ENSG00000065243	21.995417	21.995417	0	8	0	0	0	0	0	0	[ 0.00, 0.56)	21.995417	[  17.148,3265.406]
ENSG00000065526	14.184056	14.184056	1	5	1	0	0	1	0	0	[ 0.00, 0.56)	14.184056	[   2.628,  17.148)
ENSG00000065600	4.524854	4.524854	0	5	0	0	0	0	0	0	[ 0.00, 0.56)	4.524854	[   2.628,  17.148)
ENSG00000065978	553.3907	553.3907	0	4	0	0	0	0	0	0	[ 0.00, 0.56)	553.3907	[  17.148,3265.406]
ENSG00000066027	25.11462	9.446085	1	4	0	1	1.41073902363148	0	0	1	[ 0.56, 1.54)	17.2803525	[  17.148,3265.406]
ENSG00000066056	8.4779629	8.5190506	1	12	1	1	0.00697500610858794	0	1	0	[ 0.00, 0.56)	8.49850675	[   2.628,  17.148)
ENSG00000066135	16.738995	16.738995	0	5	0	0	0	0	0	0	[ 0.00, 0.56)	16.738995	[   2.628,  17.148)
ENSG00000066136	29.8919672	29.8919672	1	24	1	0	0	1	0	0	[ 0.00, 0.56)	29.8919672	[  17.148,3265.406]
ENSG00000066185	2.364234	2.364234	0	4	0	0	0	0	0	0	[ 0.00, 0.56)	2.364234	[   0.362,   2.628)
ENSG00000066279	1.231515	0.276686	1	3	0	1	2.1541126479791	0	0	1	[ 1.54, 2.62)	0.7541005	[   0.362,   2.628)
ENSG00000066294	11.159317	11.159317	0	8	0	0	0	0	0	0	[ 0.00, 0.56)	11.159317	[   2.628,  17.148)
ENSG00000066322	72.092176	72.092176	0	15	0	0	0	0	0	0	[ 0.00, 0.56)	72.092176	[  17.148,3265.406]
ENSG00000066557	7.1244	7.1244	0	1	0	0	0	0	0	0	[ 0.00, 0.56)	7.1244	[   2.628,  17.148)
ENSG00000067208	8.836201	56.165996	1	9	0	1	2.66819881710736	0	0	1	[ 2.62,13.22]	32.5010985	[  17.148,3265.406]
ENSG00000067334	30.2470937	11.2277837	1	7	1	1	1.42972335118308	0	1	0	[ 0.56, 1.54)	20.7374387	[  17.148,3265.406]
ENSG00000067533	12.26916	674.561173	1	2	0	1	5.7808408964804	0	0	1	[ 2.62,13.22]	343.4151665	[  17.148,3265.406]
ENSG00000067606	15.4098578	15.4098578	0	27	0	0	0	0	0	0	[ 0.00, 0.56)	15.4098578	[   2.628,  17.148)
ENSG00000067704	52.960072	52.960072	1	5	1	0	0	1	0	0	[ 0.00, 0.56)	52.960072	[  17.148,3265.406]
ENSG00000069248	14.6008	14.6008	1	6	1	0	0	1	0	0	[ 0.00, 0.56)	14.6008	[   2.628,  17.148)
ENSG00000069275	81.039	5.5832	1	2	0	1	3.85945222975158	0	0	1	[ 2.62,13.22]	43.3111	[  17.148,3265.406]
ENSG00000069424	16.2450695	27.26820958577	1	20	0	1	0.747218061025742	0	0	1	[ 0.56, 1.54)	21.756639542885	[  17.148,3265.406]
ENSG00000069702	20.529614	20.6944130010413	1	11	1	1	0.0115348249739878	0	1	0	[ 0.00, 0.56)	20.6120135005207	[  17.148,3265.406]
ENSG00000069712	1.4467411065	1.4467411065	1	2	1	0	0	1	0	0	[ 0.00, 0.56)	1.4467411065	[   0.362,   2.628)
ENSG00000069812	4.615751	56.395	1	6	0	1	3.61092995448203	0	0	1	[ 2.62,13.22]	30.5053755	[  17.148,3265.406]
ENSG00000070759	5.25502	34.299327	1	7	0	1	2.70641210897213	0	0	1	[ 2.62,13.22]	19.7771735	[  17.148,3265.406]
ENSG00000070785	19.15727	19.15727	0	9	0	0	0	0	0	0	[ 0.00, 0.56)	19.15727	[  17.148,3265.406]
ENSG00000070831	202.519471	178.116451	1	6	1	1	0.185239849669005	0	1	0	[ 0.00, 0.56)	190.317961	[  17.148,3265.406]
ENSG00000070886	0	0	0	3	0	0	0	0	0	0	[ 0.00, 0.56)	0	[   0.000,   0.362)
ENSG00000072694	17.2690100521232	17.2690100521232	1	9	1	0	0	1	0	0	[ 0.00, 0.56)	17.2690100521232	[  17.148,3265.406]
ENSG00000073754	0.119225	0.119225	1	2	1	0	0	1	0	0	[ 0.00, 0.56)	0.119225	[   0.000,   0.362)
ENSG00000073756	7.0751795	29.521	1	5	0	1	2.06090293710937	0	0	1	[ 1.54, 2.62)	18.29808975	[  17.148,3265.406]
ENSG00000074800	398.80864	398.80864	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	398.80864	[  17.148,3265.406]
ENSG00000074964	28.7457007	8.05364	1	13	0	1	1.83563330809467	0	0	1	[ 1.54, 2.62)	18.39967035	[  17.148,3265.406]
ENSG00000075151	28.386979	28.386979	1	18	1	0	0	1	0	0	[ 0.00, 0.56)	28.386979	[  17.148,3265.406]
ENSG00000075391	6.050599	5.729506	1	6	1	1	0.0786672193725911	0	1	0	[ 0.00, 0.56)	5.8900525	[   2.628,  17.148)
ENSG00000075945	12.3639311	12.078325	1	7	1	1	0.033717121453216	0	1	0	[ 0.00, 0.56)	12.22112805	[   2.628,  17.148)
ENSG00000076258	4.929619	4.929619	0	5	0	0	0	0	0	0	[ 0.00, 0.56)	4.929619	[   2.628,  17.148)
ENSG00000076321	10.838933	85.460831	1	6	0	1	2.9790406027699	0	0	1	[ 2.62,13.22]	48.149882	[  17.148,3265.406]
ENSG00000076356	13.001252	13.001252	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	13.001252	[   2.628,  17.148)
ENSG00000076864	7.15447580047217	40.106489	1	14	0	1	2.48691770388356	0	0	1	[ 1.54, 2.62)	23.6304824002361	[  17.148,3265.406]
ENSG00000077152	11.201304	10.9854200325502	1	3	1	1	0.0280766605086258	0	1	0	[ 0.00, 0.56)	11.0933620162751	[   2.628,  17.148)
ENSG00000077157	29.8391562	3.011004	1	18	0	1	3.30889020949639	0	0	1	[ 2.62,13.22]	16.4250801	[   2.628,  17.148)
ENSG00000077254	28.491653	28.491653	1	18	1	0	0	1	0	0	[ 0.00, 0.56)	28.491653	[  17.148,3265.406]
ENSG00000077522	0.1438869	0.4501418	1	7	1	1	1.64544428934844	0	1	0	[ 1.54, 2.62)	0.29701435	[   0.000,   0.362)
ENSG00000077549	236.554287	236.554287	0	11	0	0	0	0	0	0	[ 0.00, 0.56)	236.554287	[  17.148,3265.406]
