transcript	status	logFC_cat	logFC	avetpm	length	eff_length	tpm1	tpm2	isopct1	isopct2	gene	avetpm_cat
ENST00000367770	1	[ 3.38,32.14)	4.17239029631724	0.225322590312507	2916	2770.55	0.0236798	0.426965380625014	0.00277743704624207	0.0500793699951334	ENSG00000000457	[   0.192,   0.617)
ENST00000367771	1	[ 3.38,32.14)	5.24730376554692	3.1957518823387	2921	2775.55	6.22755	0.163953764677397	0.730438098181774	0.0192303676503119	ENSG00000000457	[   2.459,3242.300]
ENST00000367772	1	  Inf	Inf	0.816655	3477	3331.55	1.63331	0	0.191573227054182	0	ENSG00000000457	[   0.617,   2.459)
ENST00000423670	1	[ 0.00, 1.51)	0.321952889821194	0.203328816397328	2077	1931.55	0.180735	0.225922632794656	0.0211986623431178	0.0264987833473433	ENSG00000000457	[   0.192,   0.617)
ENST00000470238	1	[ 3.38,32.14)	4.06526107772118	4.08471551095147	1538	1392.55	0.460499	7.70893202190293	0.0540125753746833	0.904191479007211	ENSG00000000457	[   2.459,3242.300]
ENST00000286031	0	[ 0.00, 1.51)	0	0.153534	4355	4209.55	0.153534	0.153534	0.0463213081185202	0.0206674645816902	ENSG00000000460	[   0.000,   0.192)
ENST00000359326	0	[ 0.00, 1.51)	0	1.66236	4002	3856.55	1.66236	1.66236	0.501535098179577	0.223773017195009	ENSG00000000460	[   0.617,   2.459)
ENST00000413811	0	[ 0.00, 1.51)	0	0.0376895	1697	1551.55	0.0376895	0.0376895	0.0113709467761731	0.00507344566253477	ENSG00000000460	[   0.000,   0.192)
ENST00000456684	0	[ 0.00, 1.51)	0	0	1071	925.552	0	0	0	0	ENSG00000000460	[   0.000,   0.192)
ENST00000459772	0	[ 0.00, 1.51)	0	0.0544752	3727	3581.55	0.0544752	0.0544752	0.0164352034338844	0.00733299638243314	ENSG00000000460	[   0.000,   0.192)
ENST00000466580	0	[ 0.00, 1.51)	0	0	815	669.552	0	0	0	0	ENSG00000000460	[   0.000,   0.192)
ENST00000472795	0	[ 0.00, 1.51)	0	0.137941	919	773.552	0.137941	0.137941	0.0416168898301145	0.0185684651729449	ENSG00000000460	[   0.000,   0.192)
ENST00000481744	0	[ 0.00, 1.51)	0	0	755	609.552	0	0	0	0	ENSG00000000460	[   0.000,   0.192)
ENST00000496973	1	[ 2.40, 3.38)	2.41104865368445	3.009793	782	636.552	0.952676	5.06691	0.287422971674804	0.682065099350059	ENSG00000000460	[   2.459,3242.300]
ENST00000498289	0	[ 0.00, 1.51)	0	0.315868	3849	3703.55	0.315868	0.315868	0.0952975819869263	0.0425195116553292	ENSG00000000460	[   0.192,   0.617)
ENST00000374003	1	  Inf	Inf	0.0639	2021	1875.55	0.1278	0	0.0110710447479847	0	ENSG00000000938	[   0.000,   0.192)
ENST00000374004	1	[ 0.00, 1.51)	1.01108501040049	3.50902678481969	2350	2204.55	4.69067	2.32738356963938	0.406342859687242	0.201616335251972	ENSG00000000938	[   2.459,3242.300]
ENST00000374005	1	  Inf	Inf	0.575725	2729	2583.55	1.15145	0	0.0997476875983335	0	ENSG00000000938	[   0.192,   0.617)
ENST00000399173	1	  Inf	Inf	1.360485	2483	2337.55	2.72097	0	0.235711898497058	0	ENSG00000000938	[   0.617,   2.459)
ENST00000457296	1	  Inf	Inf	2.62794341849371	1104	958.552	0	5.25588683698741	0	0.455306403463471	ENSG00000000938	[   2.459,3242.300]
ENST00000468038	0	[ 0.00, 1.51)	0	0	781	635.552	0	0	0	0	ENSG00000000938	[   0.000,   0.192)
ENST00000475472	1	[ 0.00, 1.51)	0.0846121389687258	2.24453049941073	679	533.552	2.17873	2.31033099882145	0.188738789700914	0.200139106968768	ENSG00000000938	[   0.617,   2.459)
ENST00000545953	1	[ 0.00, 1.51)	1.29165418937344	1.16201529727587	2242	2096.55	0.674006	1.65002459455175	0.0583877197684679	0.142938154315788	ENSG00000000938	[   0.617,   2.459)
ENST00000359637	1	  Inf	Inf	2.145025	1454	1308.55	4.29005	0	0.0262311695950267	0	ENSG00000000971	[   0.617,   2.459)
ENST00000367429	1	[ 1.51, 2.40)	2.17363132142328	83.9079501176771	4127	3981.55	137.368	30.4479002353542	0.839925712970625	0.186171264877106	ENSG00000000971	[   2.459,3242.300]
ENST00000439155	1	[ 2.40, 3.38)	2.78545052132541	62.2088329363471	1822	1676.55	15.76	108.657665872694	0.0963632668191795	0.664378657895918	ENSG00000000971	[   2.459,3242.300]
ENST00000466229	1	[ 3.38,32.14)	3.66987140730132	6.72052673584854	6985	6839.55	0.979137	12.4619164716971	0.00598685532890425	0.0761973973375934	ENSG00000000971	[   2.459,3242.300]
